house_number,area,usage_kwh,total_bill
4837,Urban,826,355.2
4838,Urban,814,348.64
4839,Urban,1046,475.32
4840,Urban,697,284.76
4841,Urban,1187,552.3
4843,Urban,968,432.73
4844,Urban,1153,533.74
4845,Urban,1007,454.02
4846,Urban,994,446.92
4847,Urban,663,266.2
4848,Urban,907,399.42
4849,Urban,1042,473.13
4851,Urban,786,333.36
4853,Urban,880,384.68
4854,Urban,828,356.29
4855,Urban,1080,493.88
4856,Urban,1035,469.31
4857,Urban,1067,486.78
4859,Urban,701,286.95
4861,Urban,818,350.83
4863,Urban,941,417.99
4864,Urban,844,365.02
4865,Urban,1011,456.21
4867,Urban,1002,451.29
4868,Urban,958,427.27
4869,Urban,1090,499.34
4870,Urban,1156,535.38
4871,Urban,861,374.31
4872,Urban,712,292.95
4873,Urban,1046,475.32
4874,Urban,848,367.21
4876,Urban,968,432.73
4877,Urban,774,326.8
4878,Urban,1054,479.68
4879,Urban,1055,480.23
4880,Urban,708,290.77
4881,Urban,915,403.79
4882,Urban,848,367.21
4883,Urban,715,294.59
4884,Urban,1108,509.17
4886,Urban,940,417.44
4887,Urban,948,421.81
4888,Urban,1100,504.8
4889,Urban,810,346.46
4890,Urban,990,444.74
4891,Urban,851,368.85
4892,Urban,927,410.34
4894,Urban,951,423.45
4895,Urban,855,371.03
4896,Urban,1068,487.33
4897,Urban,687,279.3
4898,Urban,1125,518.45
4899,Urban,802,342.09
4900,Urban,919,405.97
4901,Urban,1146,529.92
4902,Urban,777,328.44
4903,Urban,685,278.21
4906,Urban,772,325.71
4910,Urban,818,350.83
4911,Urban,679,274.93
4912,Urban,1016,458.94
4914,Urban,904,397.78
4915,Urban,1165,540.29
4916,Urban,753,315.34
4917,Urban,963,430.0
4919,Urban,1186,551.76
4920,Urban,802,342.09
4921,Urban,1057,481.32
4922,Urban,916,404.34
4923,Urban,1025,463.85
4927,Urban,785,332.81
4928,Urban,1111,510.81
4931,Urban,1079,493.33
4934,Urban,1075,491.15
4935,Urban,909,400.51
4936,Urban,711,292.41
4937,Urban,682,276.57
4938,Urban,953,424.54
4939,Urban,918,405.43
4940,Urban,851,368.85
4941,Urban,1013,457.3
4943,Urban,1094,501.52
4944,Urban,949,422.35
4945,Urban,705,289.13
4946,Urban,869,378.67
4948,Urban,1051,478.05
4949,Urban,848,367.21
4950,Urban,671,270.57
4951,Urban,1108,509.17
4952,Urban,682,276.57
4954,Urban,663,266.2
4955,Urban,871,379.77
4956,Urban,1160,537.56
4957,Urban,906,398.88
4958,Urban,977,437.64
4959,Urban,980,439.28
4960,Urban,765,321.89
4962,Urban,1181,549.03
4963,Urban,1002,451.29
4964,Urban,1008,454.57
4966,Urban,1153,533.74
4967,Urban,695,283.67
4968,Urban,687,279.3
4969,Urban,692,282.03
4971,Urban,972,434.91
4972,Urban,1040,472.04
4974,Urban,875,381.95
4975,Urban,1099,504.25
4976,Urban,1163,539.2
4977,Urban,977,437.64
4978,Urban,1078,492.79
4979,Urban,1162,538.65
4980,Urban,1182,549.57
4981,Urban,1034,468.76
4982,Urban,803,342.64
4983,Urban,717,295.68
4984,Urban,734,304.96
4986,Urban,769,324.07
4989,Urban,795,338.27
4990,Urban,1126,519.0
4992,Urban,690,280.94
4993,Urban,761,319.71
4994,Urban,905,398.33
4995,Urban,879,384.13
4996,Urban,865,376.49
4997,Urban,970,433.82
5000,Urban,1152,533.19
5001,Urban,1078,492.79
5002,Urban,914,403.24
5003,Urban,872,380.31
5004,Urban,1198,558.31
5005,Urban,1151,532.65
5006,Urban,788,334.45
5009,Urban,701,286.95
5010,Urban,849,367.75
5011,Urban,1123,517.36
5012,Urban,1085,496.61
5013,Urban,912,402.15
5014,Urban,705,289.13
5016,Urban,939,416.89
5019,Urban,939,416.89
5020,Urban,864,375.94
5021,Urban,758,318.07
5022,Urban,1160,537.56
5023,Urban,701,286.95
5024,Urban,971,434.37
5025,Urban,725,300.05
5026,Urban,771,325.17
5027,Urban,992,445.83
5028,Urban,656,262.38
5029,Urban,744,310.42
5030,Urban,1158,536.47
5032,Urban,1046,475.32
5034,Urban,684,277.66
5035,Urban,1111,510.81
5036,Urban,657,262.92
5037,Urban,871,379.77
5038,Urban,1102,505.89
5039,Urban,798,339.91
5040,Urban,797,339.36
5041,Urban,828,356.29
5043,Urban,1109,509.71
5045,Urban,1141,527.19
5049,Urban,1185,551.21
5053,Urban,817,350.28
5055,Urban,1103,506.44
5056,Urban,1047,475.86
5057,Urban,761,319.71
5058,Urban,1076,491.7
5059,Urban,1015,458.39
5061,Urban,992,445.83
5062,Urban,888,389.05
5063,Urban,1051,478.05
5064,Urban,722,298.41
5066,Urban,1078,492.79
5067,Urban,974,436.0
5069,Urban,818,350.83
5070,Urban,948,421.81
5071,Urban,1080,493.88
5072,Urban,860,373.76
5073,Urban,859,373.21
5074,Urban,996,448.02
5075,Urban,1195,556.67
5076,Urban,797,339.36
5077,Urban,968,432.73
5078,Urban,815,349.19
5079,Urban,821,352.47
5080,Urban,1171,543.57
5081,Urban,800,341.0
5082,Urban,851,368.85
5084,Urban,839,362.29
5085,Urban,894,392.32
5087,Urban,998,449.11
5088,Urban,833,359.02
5090,Urban,716,295.14
5093,Urban,730,302.78
5094,Urban,1058,481.87
5097,Urban,1146,529.92
5098,Urban,1103,506.44
5099,Urban,747,312.06
5100,Urban,884,386.86
5101,Urban,760,319.16
5102,Urban,982,440.37
5103,Urban,813,348.1
5104,Urban,985,442.01
5105,Urban,831,357.93
5106,Urban,979,438.73
5107,Urban,907,399.42
5109,Urban,1123,517.36
5110,Urban,943,419.08
5111,Urban,1019,460.57
5112,Urban,675,272.75
5113,Urban,850,368.3
5115,Urban,985,442.01
5116,Urban,1018,460.03
5117,Urban,1141,527.19
5118,Urban,1170,543.02
5120,Urban,840,362.84
5121,Urban,745,310.97
5122,Urban,1066,486.24
5123,Urban,918,405.43
5125,Urban,740,308.24
5126,Urban,881,385.23
5127,Urban,853,369.94
5128,Urban,681,276.03
5129,Urban,768,323.53
5130,Urban,1106,508.08
5131,Urban,1182,549.57
5132,Urban,1004,452.38
5133,Urban,1109,509.71
5134,Urban,807,344.82
5135,Urban,873,380.86
5137,Urban,828,356.29
5138,Urban,683,277.12
5139,Urban,817,350.28
5140,Urban,1114,512.44
5141,Urban,852,369.39
5142,Urban,1113,511.9
5143,Urban,1056,480.78
5144,Urban,1063,484.6
5145,Urban,1059,482.41
5146,Urban,1007,454.02
5147,Urban,869,378.67
5148,Urban,759,318.61
5149,Urban,1154,534.28
5150,Urban,1007,454.02
5151,Urban,1144,528.82
5153,Urban,734,304.96
5155,Urban,692,282.03
5156,Urban,1020,461.12
5157,Urban,940,417.44
5158,Urban,837,361.2
5159,Urban,1086,497.16
5161,Urban,785,332.81
5162,Urban,1039,471.49
5163,Urban,830,357.38
5164,Urban,744,310.42
5165,Urban,712,292.95
5166,Urban,1061,483.51
5167,Urban,1039,471.49
5169,Urban,1175,545.75
5170,Urban,919,405.97
5171,Urban,989,444.19
5172,Urban,921,407.07
5173,Urban,865,376.49
5174,Urban,835,360.11
5175,Urban,1000,450.2
5176,Urban,812,347.55
5177,Urban,726,300.6
5178,Urban,735,305.51
5179,Urban,977,437.64
5181,Urban,1180,548.48
5182,Urban,899,395.05
5183,Urban,693,282.58
5184,Urban,1058,481.87
5185,Urban,1051,478.05
5186,Urban,834,359.56
5187,Urban,792,336.63
5188,Urban,830,357.38
5189,Urban,652,260.19
5190,Urban,681,276.03
5191,Urban,1037,470.4
5193,Urban,875,381.95
5194,Urban,763,320.8
5196,Urban,819,351.37
5197,Urban,669,269.47
5198,Urban,1006,453.48
5199,Urban,1141,527.19
5200,Urban,1068,487.33
5201,Urban,978,438.19
5202,Urban,1112,511.35
5203,Urban,689,280.39
5205,Urban,762,320.25
5206,Urban,1062,484.05
5207,Urban,1081,494.43
5208,Urban,762,320.25
5209,Urban,1144,528.82
5211,Urban,1159,537.01
5212,Urban,853,369.94
5213,Urban,818,350.83
5215,Urban,737,306.6
5216,Urban,1173,544.66
5217,Urban,896,393.42
5219,Urban,973,435.46
5220,Urban,1072,489.51
5221,Urban,705,289.13
5222,Urban,1052,478.59
5225,Urban,977,437.64
5226,Urban,922,407.61
5227,Urban,1055,480.23
5228,Urban,973,435.46
5230,Urban,653,260.74
5231,Urban,1004,452.38
5232,Urban,854,370.48
5233,Urban,1186,551.76
5234,Urban,829,356.83
5236,Urban,959,427.81
5237,Urban,1134,523.36
5238,Urban,652,260.19
5239,Urban,807,344.82
5241,Urban,827,355.74
5242,Urban,773,326.26
5244,Urban,942,418.53
5245,Urban,911,401.61
5246,Urban,1002,451.29
5248,Urban,891,390.69
5250,Urban,783,331.72
5251,Urban,1152,533.19
5253,Urban,1195,556.67
5254,Urban,900,395.6
5255,Urban,691,281.49
5256,Urban,725,300.05
5257,Urban,922,407.61
5258,Urban,928,410.89
5259,Urban,1057,481.32
5261,Urban,972,434.91
5262,Urban,972,434.91
5263,Urban,986,442.56
5264,Urban,723,298.96
5265,Urban,1062,484.05
5266,Urban,966,431.64
5267,Urban,702,287.49
5268,Urban,938,416.35
5269,Urban,921,407.07
5270,Urban,760,319.16
5271,Urban,718,296.23
5272,Urban,687,279.3
5273,Urban,1165,540.29
5274,Urban,874,381.4
5275,Urban,658,263.47
5276,Urban,1011,456.21
5277,Urban,777,328.44
5278,Urban,865,376.49
5279,Urban,1115,512.99
5281,Urban,677,273.84
5282,Urban,653,260.74
5283,Urban,764,321.34
5285,Urban,719,296.77
5286,Urban,872,380.31
5287,Urban,927,410.34
5288,Urban,1166,540.84
5289,Urban,796,338.82
5290,Urban,748,312.61
5291,Urban,979,438.73
5294,Urban,925,409.25
5295,Urban,903,397.24
5296,Urban,836,360.66
5298,Urban,1193,555.58
5299,Urban,1144,528.82
5300,Urban,1087,497.7
5301,Urban,975,436.55
5302,Urban,755,316.43
5303,Urban,923,408.16
5304,Urban,919,405.97
5306,Urban,1000,450.2
5307,Urban,742,309.33
5308,Urban,944,419.62
5309,Urban,870,379.22
5310,Urban,1058,481.87
5312,Urban,1194,556.12
5313,Urban,839,362.29
5314,Urban,669,269.47
5316,Urban,1165,540.29
5317,Urban,656,262.38
5318,Urban,1129,520.63
5319,Urban,723,298.96
5320,Urban,901,396.15
5321,Urban,820,351.92
5322,Urban,957,426.72
5323,Urban,804,343.18
5324,Urban,798,339.91
5325,Urban,936,415.26
5326,Urban,950,422.9
5327,Urban,1197,557.76
5328,Urban,1007,454.02
5329,Urban,758,318.07
5330,Urban,1045,474.77
5331,Urban,936,415.26
5334,Urban,834,359.56
5335,Urban,705,289.13
5336,Urban,1099,504.25
5339,Urban,925,409.25
5341,Urban,664,266.74
5342,Urban,1158,536.47
5345,Urban,1065,485.69
5347,Urban,989,444.19
5348,Urban,1143,528.28
5349,Urban,967,432.18
5350,Urban,914,403.24
5352,Urban,893,391.78
5353,Urban,790,335.54
5354,Urban,701,286.95
5355,Urban,1151,532.65
5357,Urban,770,324.62
5358,Urban,838,361.75
5360,Urban,1125,518.45
5362,Urban,681,276.03
5363,Urban,1008,454.57
5364,Urban,748,312.61
5365,Urban,1092,500.43
5366,Urban,788,334.45
5367,Urban,789,334.99
5368,Urban,1093,500.98
5369,Urban,1160,537.56
5370,Urban,1024,463.3
5371,Urban,781,330.63
5372,Urban,771,325.17
5373,Urban,1089,498.79
5374,Urban,885,387.41
5377,Urban,753,315.34
5378,Urban,1159,537.01
5379,Urban,721,297.87
5380,Urban,820,351.92
5383,Urban,1001,450.75
5384,Urban,1193,555.58
5385,Urban,1170,543.02
5386,Urban,880,384.68
5387,Urban,1071,488.97
5388,Urban,871,379.77
5390,Urban,746,311.52
5392,Urban,1056,480.78
5393,Urban,1103,506.44
5394,Urban,853,369.94
5395,Urban,1056,480.78
5396,Urban,1044,474.22
5397,Urban,707,290.22
5398,Urban,823,353.56
5399,Urban,990,444.74
5400,Urban,977,437.64
5401,Urban,1065,485.69
5403,Urban,723,298.96
5404,Urban,822,353.01
5405,Urban,1114,512.44
5406,Urban,873,380.86
5407,Urban,1193,555.58
5408,Urban,733,304.42
5409,Urban,951,423.45
5410,Urban,681,276.03
5411,Urban,914,403.24
5412,Urban,989,444.19
5413,Urban,1110,510.26
5414,Urban,1066,486.24
5415,Urban,839,362.29
5416,Urban,1024,463.3
5417,Urban,938,416.35
5418,Urban,1037,470.4
5419,Urban,1021,461.67
5420,Urban,894,392.32
5421,Urban,903,397.24
5422,Urban,1044,474.22
5424,Urban,1066,486.24
5427,Urban,900,395.6
5428,Urban,1008,454.57
5430,Urban,1000,450.2
5431,Urban,1119,515.17
5432,Urban,899,395.05
5433,Urban,753,315.34
5434,Urban,834,359.56
5435,Urban,845,365.57
5436,Urban,1181,549.03
5437,Urban,805,343.73
5438,Urban,1184,550.66
5440,Urban,929,411.43
5441,Urban,1129,520.63
5442,Urban,964,430.54
5443,Urban,1077,492.24
5446,Urban,1026,464.4
5447,Urban,1077,492.24
5448,Urban,975,436.55
5450,Urban,946,420.72
5452,Urban,812,347.55
5453,Urban,739,307.69
5455,Urban,1042,473.13
5456,Urban,857,372.12
5457,Urban,1154,534.28
5458,Urban,891,390.69
5459,Urban,666,267.84
5460,Urban,679,274.93
5461,Urban,1126,519.0
5463,Urban,782,331.17
5464,Urban,808,345.37
5465,Urban,1123,517.36
5467,Urban,1039,471.49
5468,Urban,849,367.75
5469,Urban,1024,463.3
5471,Urban,793,337.18
5473,Urban,1094,501.52
5474,Urban,959,427.81
5475,Urban,737,306.6
5476,Urban,1150,532.1
5478,Urban,1000,450.2
5479,Urban,1008,454.57
5481,Urban,1161,538.11
5482,Urban,1053,479.14
5483,Urban,978,438.19
5485,Urban,1171,543.57
5487,Urban,808,345.37
5488,Urban,883,386.32
5491,Urban,741,308.79
5492,Urban,700,286.4
5493,Urban,1113,511.9
5494,Urban,1157,535.92
5495,Urban,1067,486.78
5497,Urban,710,291.86
5498,Urban,926,409.8
5499,Urban,666,267.84
5500,Urban,900,395.6
5501,Urban,768,323.53
5502,Urban,929,411.43
5503,Urban,718,296.23
5504,Urban,743,309.88
5505,Urban,704,288.58
5506,Urban,1044,474.22
5507,Urban,737,306.6
5508,Urban,973,435.46
5511,Urban,938,416.35
5512,Urban,710,291.86
5513,Urban,931,412.53
5514,Urban,1045,474.77
5515,Urban,812,347.55
5517,Urban,835,360.11
5518,Urban,1158,536.47
5519,Urban,1044,474.22
5520,Urban,913,402.7
5521,Urban,1119,515.17
5522,Urban,826,355.2
5523,Urban,930,411.98
5524,Urban,713,293.5
5526,Urban,794,337.72
5527,Urban,1091,499.89
5529,Urban,658,263.47
5530,Urban,1090,499.34
5531,Urban,715,294.59
5533,Urban,947,421.26
5535,Urban,703,288.04
5536,Urban,926,409.8
5537,Urban,751,314.25
5539,Urban,941,417.99
5540,Urban,1100,504.8
5541,Urban,1097,503.16
5542,Urban,1049,476.95
5543,Urban,895,392.87
5544,Urban,848,367.21
5545,Urban,917,404.88
5546,Urban,651,259.65
5547,Urban,981,439.83
5548,Urban,1134,523.36
5549,Urban,1136,524.46
5551,Urban,768,323.53
5552,Urban,994,446.92
5553,Urban,750,313.7
5554,Urban,986,442.56
5555,Urban,1091,499.89
5556,Urban,653,260.74
5557,Urban,856,371.58
5558,Urban,1151,532.65
5559,Urban,680,275.48
5561,Urban,959,427.81
5563,Urban,1187,552.3
5566,Urban,765,321.89
5567,Urban,1031,467.13
5568,Urban,858,372.67
5572,Urban,919,405.97
5573,Urban,1024,463.3
5575,Urban,751,314.25
5576,Urban,970,433.82
5578,Urban,1184,550.66
5579,Urban,1134,523.36
5580,Urban,1007,454.02
5581,Urban,743,309.88
5582,Urban,938,416.35
5583,Urban,659,264.01
5584,Urban,1029,466.03
5585,Urban,929,411.43
5586,Urban,896,393.42
5587,Urban,1012,456.75
5588,Urban,889,389.59
5590,Urban,695,283.67
5591,Urban,999,449.65
5593,Urban,1052,478.59
5594,Urban,862,374.85
5595,Urban,1001,450.75
5596,Urban,1023,462.76
5597,Urban,680,275.48
5599,Urban,849,367.75
5600,Urban,816,349.74
5601,Urban,807,344.82
5602,Urban,1127,519.54
5603,Urban,988,443.65
5604,Urban,870,379.22
5605,Urban,682,276.57
5606,Urban,907,399.42
5607,Urban,758,318.07
5609,Urban,928,410.89
5610,Urban,1093,500.98
5611,Urban,746,311.52
5612,Urban,975,436.55
5613,Urban,673,271.66
5614,Urban,809,345.91
5615,Urban,1071,488.97
5617,Urban,889,389.59
5618,Urban,905,398.33
5619,Urban,1182,549.57
5621,Urban,755,316.43
5622,Urban,948,421.81
5623,Urban,1035,469.31
5624,Urban,777,328.44
5625,Urban,951,423.45
5626,Urban,1164,539.74
5628,Urban,746,311.52
5629,Urban,664,266.74
5631,Urban,1181,549.03
5633,Urban,1138,525.55
5634,Urban,700,286.4
5636,Urban,1172,544.11
5637,Urban,1183,550.12
5638,Urban,737,306.6
5639,Urban,910,401.06
5640,Urban,1005,452.93
5641,Urban,878,383.59
5643,Urban,669,269.47
5644,Urban,760,319.16
5645,Urban,1184,550.66
5646,Urban,1180,548.48
5647,Urban,769,324.07
5649,Urban,1017,459.48
5650,Urban,1042,473.13
5651,Urban,891,390.69
5652,Urban,1077,492.24
5653,Urban,810,346.46
5654,Urban,936,415.26
5655,Urban,662,265.65
5656,Urban,771,325.17
5658,Urban,753,315.34
5659,Urban,733,304.42
5660,Urban,1037,470.4
5661,Urban,1032,467.67
5662,Urban,909,400.51
5663,Urban,940,417.44
5665,Urban,966,431.64
5666,Urban,1075,491.15
5667,Urban,1072,489.51
5668,Urban,692,282.03
5669,Urban,930,411.98
5670,Urban,823,353.56
5671,Urban,1086,497.16
5672,Urban,840,362.84
5673,Urban,1122,516.81
5674,Urban,1117,514.08
5675,Urban,1044,474.22
5677,Urban,684,277.66
5678,Urban,912,402.15
5679,Urban,1193,555.58
5680,Urban,1152,533.19
5683,Urban,759,318.61
5684,Urban,659,264.01
5687,Urban,1051,478.05
5688,Urban,736,306.06
5689,Urban,1067,486.78
5690,Urban,664,266.74
5691,Urban,699,285.85
5692,Urban,832,358.47
5694,Urban,1180,548.48
5696,Urban,1030,466.58
5697,Urban,1161,538.11
5698,Urban,871,379.77
5699,Urban,859,373.21
5701,Urban,654,261.28
5703,Urban,744,310.42
5704,Urban,783,331.72
5705,Urban,1126,519.0
5706,Urban,1089,498.79
5707,Urban,836,360.66
5709,Urban,1102,505.89
5710,Urban,1004,452.38
5711,Urban,798,339.91
5712,Urban,1196,557.22
5716,Urban,858,372.67
5717,Urban,1052,478.59
5718,Urban,809,345.91
5719,Urban,1026,464.4
5720,Urban,1101,505.35
5721,Urban,746,311.52
5722,Urban,728,301.69
5723,Urban,712,292.95
5724,Urban,865,376.49
5725,Urban,1095,502.07
5726,Urban,1011,456.21
5727,Urban,1194,556.12
5729,Urban,984,441.46
5731,Urban,659,264.01
5732,Urban,897,393.96
5733,Urban,1076,491.7
5734,Urban,930,411.98
5735,Urban,838,361.75
5738,Urban,1177,546.84
5739,Urban,1099,504.25
5740,Urban,1096,502.62
5742,Urban,1003,451.84
5743,Urban,1073,490.06
5744,Urban,1149,531.55
5745,Urban,711,292.41
5746,Urban,820,351.92
5747,Urban,956,426.18
5748,Urban,919,405.97
5749,Urban,1168,541.93
5751,Urban,1025,463.85
5752,Urban,1191,554.49
5753,Urban,660,264.56
5754,Urban,1144,528.82
5755,Urban,1127,519.54
5756,Urban,936,415.26
5757,Urban,1029,466.03
5760,Urban,1091,499.89
5761,Urban,979,438.73
5763,Urban,684,277.66
5764,Urban,763,320.8
5765,Urban,1032,467.67
5766,Urban,1116,513.54
5767,Urban,1120,515.72
5768,Urban,940,417.44
5769,Urban,853,369.94
5771,Urban,764,321.34
5772,Urban,1002,451.29
5774,Urban,799,340.45
5775,Urban,845,365.57
5776,Urban,989,444.19
5777,Urban,981,439.83
5779,Urban,1121,516.27
5780,Urban,686,278.76
5781,Urban,678,274.39
5782,Urban,1114,512.44
5784,Urban,1131,521.73
5786,Urban,707,290.22
5788,Urban,1045,474.77
5789,Urban,653,260.74
5790,Urban,1185,551.21
5791,Urban,807,344.82
5792,Urban,946,420.72
5793,Urban,847,366.66
5794,Urban,1171,543.57
5795,Urban,727,301.14
5796,Urban,971,434.37
5798,Urban,761,319.71
5799,Urban,910,401.06
5801,Urban,796,338.82
5802,Urban,948,421.81
5803,Urban,966,431.64
5805,Urban,921,407.07
5807,Urban,1150,532.1
5808,Urban,668,268.93
5809,Urban,785,332.81
5810,Urban,839,362.29
5812,Urban,951,423.45
5813,Urban,713,293.5
5815,Urban,1045,474.77
5816,Urban,1140,526.64
5818,Urban,845,365.57
5820,Urban,851,368.85
5822,Urban,859,373.21
5823,Urban,1097,503.16
5824,Urban,968,432.73
5825,Urban,1024,463.3
5826,Urban,853,369.94
5828,Urban,679,274.93
5829,Urban,905,398.33
5830,Urban,729,302.23
5831,Urban,659,264.01
5832,Urban,1091,499.89
5833,Urban,1078,492.79
5834,Urban,804,343.18
5835,Urban,1139,526.09
5836,Urban,760,319.16
5837,Urban,653,260.74
5838,Urban,774,326.8
5839,Urban,1024,463.3
5840,Urban,729,302.23
5841,Urban,1080,493.88
5842,Urban,656,262.38
5843,Urban,894,392.32
5844,Urban,1168,541.93
5847,Urban,868,378.13
5848,Urban,1184,550.66
5849,Urban,894,392.32
5850,Urban,754,315.88
5851,Urban,1140,526.64
5852,Urban,1140,526.64
5853,Urban,1102,505.89
5854,Urban,851,368.85
5856,Urban,916,404.34
5857,Urban,872,380.31
5858,Urban,1144,528.82
5859,Urban,799,340.45
5860,Urban,959,427.81
5861,Urban,1161,538.11
5862,Urban,693,282.58
5863,Urban,1171,543.57
5864,Urban,755,316.43
5865,Urban,930,411.98
5866,Urban,1167,541.38
5869,Urban,1101,505.35
5872,Urban,992,445.83
5873,Urban,834,359.56
5874,Urban,913,402.7
5876,Urban,1191,554.49
5878,Urban,1150,532.1
5880,Urban,966,431.64
5881,Urban,1062,484.05
5882,Urban,654,261.28
5884,Urban,725,300.05
5885,Urban,893,391.78
5886,Urban,848,367.21
5887,Urban,932,413.07
5888,Urban,1083,495.52
5889,Urban,759,318.61
5890,Urban,1047,475.86
5891,Urban,867,377.58
5892,Urban,933,413.62
5893,Urban,1002,451.29
5894,Urban,867,377.58
5895,Urban,1011,456.21
5896,Urban,1095,502.07
5897,Urban,1200,559.4
5898,Urban,961,428.91
5899,Urban,663,266.2
5900,Urban,735,305.51
5901,Urban,933,413.62
5903,Urban,1161,538.11
5904,Urban,952,423.99
5905,Urban,1067,486.78
5906,Urban,896,393.42
5907,Urban,1039,471.49
5908,Urban,1166,540.84
5910,Urban,885,387.41
5911,Urban,1062,484.05
5912,Urban,1066,486.24
5913,Urban,1022,462.21
5914,Urban,733,304.42
5915,Urban,925,409.25
5916,Urban,1101,505.35
5917,Urban,1096,502.62
5919,Urban,1143,528.28
5922,Urban,653,260.74
5923,Urban,1042,473.13
5924,Urban,1194,556.12
5925,Urban,795,338.27
5926,Urban,959,427.81
5927,Urban,1117,514.08
5928,Urban,1123,517.36
5930,Urban,792,336.63
5931,Urban,875,381.95
5933,Urban,916,404.34
5934,Urban,1040,472.04
5935,Urban,1002,451.29
5937,Urban,1188,552.85
5938,Urban,1156,535.38
5939,Urban,1058,481.87
5942,Urban,804,343.18
5943,Urban,815,349.19
5944,Urban,717,295.68
5946,Urban,807,344.82
5947,Urban,931,412.53
5948,Urban,793,337.18
5949,Urban,924,408.7
5950,Urban,811,347.01
5951,Urban,1128,520.09
5952,Urban,1077,492.24
5954,Urban,1083,495.52
5955,Urban,1188,552.85
5956,Urban,680,275.48
5957,Urban,883,386.32
5961,Urban,697,284.76
5962,Urban,698,285.31
5963,Urban,971,434.37
5964,Urban,665,267.29
5965,Urban,803,342.64
5967,Urban,764,321.34
5968,Urban,807,344.82
5969,Urban,1183,550.12
5971,Urban,986,442.56
5974,Urban,1056,480.78
5975,Urban,916,404.34
5976,Urban,734,304.96
5977,Urban,1157,535.92
5978,Urban,1021,461.67
5979,Urban,890,390.14
5980,Urban,690,280.94
5981,Urban,946,420.72
5982,Urban,1097,503.16
5983,Urban,831,357.93
5984,Urban,815,349.19
5985,Urban,689,280.39
5986,Urban,907,399.42
5988,Urban,888,389.05
5989,Urban,898,394.51
5990,Urban,1021,461.67
5991,Urban,806,344.28
5993,Urban,1075,491.15
5994,Urban,1183,550.12
5995,Urban,655,261.83
5997,Urban,901,396.15
5998,Urban,677,273.84
5999,Urban,945,420.17
6002,Urban,998,449.11
6004,Urban,784,332.26
6006,Urban,1056,480.78
6007,Urban,732,303.87
6009,Urban,964,430.54
6010,Urban,1197,557.76
6011,Urban,914,403.24
6012,Urban,823,353.56
6013,Urban,655,261.83
6015,Urban,767,322.98
6016,Urban,718,296.23
6017,Urban,660,264.56
6018,Urban,733,304.42
6020,Urban,967,432.18
6021,Urban,1078,492.79
6022,Urban,1038,470.95
6023,Urban,1012,456.75
6024,Urban,751,314.25
6025,Urban,793,337.18
6027,Urban,1147,530.46
6028,Urban,932,413.07
6030,Urban,775,327.35
6032,Urban,786,333.36
6033,Urban,1006,453.48
6034,Urban,948,421.81
6035,Urban,1198,558.31
6036,Urban,1072,489.51
6038,Urban,1162,538.65
6040,Urban,1122,516.81
6041,Urban,851,368.85
6042,Urban,793,337.18
6043,Urban,664,266.74
6044,Urban,1033,468.22
6045,Urban,762,320.25
6047,Urban,951,423.45
6048,Urban,1067,486.78
6049,Urban,1088,498.25
6050,Urban,1135,523.91
6053,Urban,915,403.79
6054,Urban,996,448.02
6055,Urban,852,369.39
6056,Urban,681,276.03
6057,Urban,1087,497.7
6058,Urban,686,278.76
6059,Urban,787,333.9
6062,Urban,1059,482.41
6065,Urban,1035,469.31
6066,Urban,1138,525.55
6068,Urban,994,446.92
6069,Urban,1067,486.78
6070,Urban,1035,469.31
6071,Urban,1185,551.21
6073,Urban,975,436.55
6074,Urban,1096,502.62
6075,Urban,1143,528.28
6077,Urban,1160,537.56
6078,Urban,1025,463.85
6079,Urban,977,437.64
6082,Urban,786,333.36
6084,Urban,835,360.11
6085,Urban,743,309.88
6086,Urban,721,297.87
6087,Urban,871,379.77
6088,Urban,993,446.38
6090,Urban,1062,484.05
6091,Urban,738,307.15
6092,Urban,785,332.81
6094,Urban,1076,491.7
6095,Urban,845,365.57
6096,Urban,990,444.74
6097,Urban,811,347.01
6098,Urban,767,322.98
6100,Urban,735,305.51
6101,Urban,954,425.08
6102,Urban,1050,477.5
6103,Urban,755,316.43
6105,Urban,950,422.9
6106,Urban,886,387.96
6107,Urban,851,368.85
6108,Urban,1148,531.01
6109,Urban,1074,490.6
6111,Urban,1173,544.66
6112,Urban,985,442.01
6113,Urban,966,431.64
6114,Urban,779,329.53
6115,Urban,741,308.79
6116,Urban,704,288.58
6117,Urban,683,277.12
6118,Urban,752,314.79
6119,Urban,1110,510.26
6120,Urban,766,322.44
6121,Urban,1144,528.82
6122,Urban,930,411.98
6123,Urban,877,383.04
6125,Urban,705,289.13
6126,Urban,1100,504.8
6128,Urban,931,412.53
6129,Urban,1188,552.85
6131,Urban,680,275.48
6132,Urban,1156,535.38
6134,Urban,839,362.29
6136,Urban,1054,479.68
6137,Urban,1172,544.11
6139,Urban,1105,507.53
6141,Urban,718,296.23
6142,Urban,827,355.74
6143,Urban,1152,533.19
6144,Urban,796,338.82
6145,Urban,885,387.41
6146,Urban,740,308.24
6147,Urban,903,397.24
6150,Urban,1171,543.57
6151,Urban,685,278.21
6152,Urban,1095,502.07
6153,Urban,1136,524.46
6154,Urban,1055,480.23
6155,Urban,1006,453.48
6156,Urban,890,390.14
6157,Urban,1003,451.84
6158,Urban,801,341.55
6159,Urban,951,423.45
6161,Urban,917,404.88
